variant,quarter,selection_rank,selected_sleeve,selected_sleeve_rank,ticker,core_refill_source,demoted_replacement_for,right_tail_exception_score,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
top15_v4_core_deterioration_refill_downgrade,2023Q2,5,core,5,SMHI,original_top10,,,1.5892,-5.5012,-3.423,37.0416,47.9218
top15_v4_core_deterioration_refill_downgrade,2023Q2,6,core,6,GRBK,original_top10,,,25.6736,20.5838,28.9421,39.3962,38.498
top15_v4_core_deterioration_refill_downgrade,2023Q2,7,core,7,AIOT,next_ranked_core_candidate,ARLO,,3,5,10.6667,-4.3333,-23.3333
top15_v4_core_deterioration_refill_downgrade,2023Q2,8,core,8,HRTG,next_ranked_core_candidate,CCL,,31.1518,28.7958,26.4398,6.2827,17.0157
top15_v4_core_deterioration_refill_downgrade,2023Q2,9,core,9,HIMS,next_ranked_core_candidate,EXAS,,-9.3271,-17.587,-15.0812,-20.0928,-26.6821
top15_v4_core_deterioration_refill_downgrade,2023Q2,10,core,10,PKOH,next_ranked_core_candidate,TAP,,16.9331,11.6279,20.1308,38.8808,42.9506
top15_v4_core_deterioration_refill_downgrade,2023Q2,11,right_tail_exception,1,CVGI,,,99.0,28.6445,34.7826,27.11,42.9668,36.3171
top15_v4_core_deterioration_refill_downgrade,2023Q2,12,right_tail_exception,2,PLTR,,,98.0,27.0065,59.5445,64.7505,76.7896,95.1193
top15_v4_core_deterioration_refill_downgrade,2023Q2,13,right_tail_exception,3,INTA,,,82.0,-8.6591,-5.4318,-2.4773,-6.6591,-17.5
top15_v4_core_deterioration_refill_downgrade,2023Q2,14,right_tail_exception,4,NBR,,,80.0,-11.1698,-20.7928,-16.2267,-12.6517,8.5765
top15_v4_core_deterioration_refill_downgrade,2023Q2,15,right_tail_exception,5,ITW,,,78.0,-1.9795,-4.6345,-2.018,7.2681,7.6742
top15_v4_core_deterioration_refill_strict,2023Q3,1,core,1,AAOI,original_top10,,,77.2999,68.3393,54.7192,23.2975,2.3895
top15_v4_core_deterioration_refill_strict,2023Q3,2,core,2,SMCI,original_top10,,,6.8835,-10.3172,-18.2395,-19.8252,-14.2233
top15_v4_core_deterioration_refill_strict,2023Q3,3,core,3,ARLO,original_top10,,,4.9145,4.3804,13.1410,2.2436,-5.5556
top15_v4_core_deterioration_refill_strict,2023Q3,4,core,4,MTRX,original_top10,,,13.9586,22.9008,28.4624,18.8659,2.7263
top15_v4_core_deterioration_refill_strict,2023Q3,5,core,5,CIFR,original_top10,,,-24.8684,-9.2105,-20.7895,-32.8947,1.3158
top15_v4_core_deterioration_refill_strict,2023Q3,6,core,6,VRT,original_top10,,,1.4076,4.6334,14.7507,12.6393,17.9765
top15_v4_core_deterioration_refill_strict,2023Q3,7,core,7,APP,original_top10,,,1.8006,12.1608,10.6472,6.6023,4.6973
top15_v4_core_deterioration_refill_strict,2023Q3,8,core,8,SMHI,original_top10,,,17.2553,16.7508,31.0797,35.4188,39.3542
top15_v4_core_deterioration_refill_strict,2023Q3,9,core,9,ANF,original_top10,,,6.7536,-0.2336,0.7396,21.3507,42.682
top15_v4_core_deterioration_refill_strict,2023Q3,10,core,10,HLX,original_top10,,,0.8439,-1.8987,2.5317,17.5106,5.2743
top15_v4_core_deterioration_refill_strict,2023Q3,11,right_tail_exception,1,UPWK,,,112.0,6.5385,19.6154,14.6154,-10.7692,-23.2308
top15_v4_core_deterioration_refill_strict,2023Q3,12,right_tail_exception,2,HRTG,,,110.0,9.2403,8.6242,-5.5441,15.4004,55.2361
top15_v4_core_deterioration_refill_strict,2023Q3,13,right_tail_exception,3,FUBO,,,99.0,-35.3312,-28.0757,-15.142,-22.7129,-6.3092
top15_v4_core_deterioration_refill_strict,2023Q3,14,right_tail_exception,4,RCL,,,99.0,-2.6487,-10.3333,-11.4234,-18.5045,-25.3333
top15_v4_core_deterioration_refill_strict,2023Q3,15,right_tail_exception,5,MEG,,,94.0,-1.3161,-6.6551,-15.9424,-31.0653,-37.9935
top15_v4_core_deterioration_refill_downgrade,2023Q3,1,core,1,AAOI,original_top10,,,77.2999,68.3393,54.7192,23.2975,2.3895
top15_v4_core_deterioration_refill_downgrade,2023Q3,2,core,2,SMCI,original_top10,,,6.8835,-10.3172,-18.2395,-19.8252,-14.2233
top15_v4_core_deterioration_refill_downgrade,2023Q3,3,core,3,MTRX,original_top10,,,13.9586,22.9008,28.4624,18.8659,2.7263
top15_v4_core_deterioration_refill_downgrade,2023Q3,4,core,4,CIFR,original_top10,,,-24.8684,-9.2105,-20.7895,-32.8947,1.3158
top15_v4_core_deterioration_refill_downgrade,2023Q3,5,core,5,APP,original_top10,,,1.8006,12.1608,10.6472,6.6023,4.6973
top15_v4_core_deterioration_refill_downgrade,2023Q3,6,core,6,SMHI,original_top10,,,17.2553,16.7508,31.0797,35.4188,39.3542
top15_v4_core_deterioration_refill_downgrade,2023Q3,7,core,7,GBX,next_ranked_core_candidate,ARLO,,-3.6509,-1.3298,-0.7737,-9.8888,4.6905
top15_v4_core_deterioration_refill_downgrade,2023Q3,8,core,8,SHAK,next_ranked_core_candidate,VRT,,-0.4277,-9.3183,-13.1934,-26.7885,-26.8144
top15_v4_core_deterioration_refill_downgrade,2023Q3,9,core,9,UBER,next_ranked_core_candidate,ANF,,-2.6164,-3.7021,2.1387,-0.8142,-6.0254
top15_v4_core_deterioration_refill_downgrade,2023Q3,10,core,10,COMP,next_ranked_core_candidate,HLX,,-16.9811,-10.5121,-9.1644,-35.5795,-42.8571
top15_v4_core_deterioration_refill_downgrade,2023Q3,11,right_tail_exception,1,HBB,,,89.0,12.3288,12.4341,30.0843,33.2982,28.1349
top15_v4_core_deterioration_refill_downgrade,2023Q3,12,right_tail_exception,2,ORN,,,84.0,8.0692,-6.0519,23.0548,50.1441,58.7896
top15_v4_core_deterioration_refill_downgrade,2023Q3,13,right_tail_exception,3,ACAD,,,94.0,-11.5548,-19.1773,-11.2825,-26.1343,-29.2196
top15_v4_core_deterioration_refill_downgrade,2023Q3,14,right_tail_exception,4,AIZ,,,89.0,2.3143,-0.75,0.0143,3.15,6.3571
top15_v4_core_deterioration_refill_downgrade,2023Q3,15,right_tail_exception,5,SPXC,,,89.0,-12.0324,-10.3312,-13.0802,-8.2808,-8.7314
top15_v4_core_deterioration_refill_strict,2023Q4,1,core,1,NPKI,original_top10,,,-1.9499,-0.2786,0.2786,-8.9136,-7.9387
top15_v4_core_deterioration_refill_strict,2023Q4,2,core,2,MTRX,original_top10,,,-9.4424,-11.0611,-15.2878,-11.9604,-17.1763
top15_v4_core_deterioration_refill_strict,2023Q4,3,core,3,ANF,original_top10,,,5.1327,14.1185,24.6562,39.7005,65.0374
top15_v4_core_deterioration_refill_strict,2023Q4,4,core,4,POWL,original_top10,,,1.2159,-1.3706,-10.7881,40.9749,83.6631
top15_v4_core_deterioration_refill_strict,2023Q4,5,core,5,AAOI,original_top10,,,55.6512,42.6265,99.7847,134.3380,103.3369
top15_v4_core_deterioration_refill_strict,2023Q4,6,core,6,ARLO,original_top10,,,4.9369,4.3628,6.0850,12.1699,0.0000
top15_v4_core_deterioration_refill_strict,2023Q4,7,core,7,CDRE,original_top10,,,6.3123,7.3754,7.5083,5.0166,15.3821
top15_v4_core_deterioration_refill_strict,2023Q4,8,core,8,CTLP,original_top10,,,8.9141,14.5867,15.2350,15.8833,10.2107
top15_v4_core_deterioration_refill_strict,2023Q4,9,core,9,RSI,original_top10,,,18.0822,24.3836,18.0822,15.3425,42.7397
top15_v4_core_deterioration_refill_strict,2023Q4,10,core,10,AIOT,original_top10,,,10.0962,11.5385,9.6154,51.4423,56.2500
top15_v4_core_deterioration_refill_strict,2023Q4,11,right_tail_exception,1,GRBK,,,106.0,16.1039,23.013,26.0519,34.6494,36.8831
top15_v4_core_deterioration_refill_strict,2023Q4,12,right_tail_exception,2,TGLS,,,106.0,19.8053,17.6905,29.1037,49.5133,57.2004
top15_v4_core_deterioration_refill_strict,2023Q4,13,right_tail_exception,3,AMRX,,,104.0,21.1864,20.9040,27.6836,65.8192,54.5198
top15_v4_core_deterioration_refill_strict,2023Q4,14,right_tail_exception,4,DXCM,,,103.0,2.2754,12.9839,22.916,33.2363,36.4283
top15_v4_core_deterioration_refill_strict,2023Q4,15,right_tail_exception,5,XYZ,,,103.0,2.4016,17.4213,27.9528,42.1654,31.2402
top15_v4_core_deterioration_refill_downgrade,2023Q4,1,core,1,MTRX,original_top10,,,-9.4424,-11.0611,-15.2878,-11.9604,-17.1763
top15_v4_core_deterioration_refill_downgrade,2023Q4,2,core,2,ANF,original_top10,,,5.1327,14.1185,24.6562,39.7005,65.0374
top15_v4_core_deterioration_refill_downgrade,2023Q4,3,core,3,AAOI,original_top10,,,55.6512,42.6265,99.7847,134.3380,103.3369
top15_v4_core_deterioration_refill_downgrade,2023Q4,4,core,4,ARLO,original_top10,,,4.9369,4.3628,6.0850,12.1699,0.0000
top15_v4_core_deterioration_refill_downgrade,2023Q4,5,core,5,CDRE,original_top10,,,6.3123,7.3754,7.5083,5.0166,15.3821
top15_v4_core_deterioration_refill_downgrade,2023Q4,6,core,6,CTLP,original_top10,,,8.9141,14.5867,15.2350,15.8833,10.2107
top15_v4_core_deterioration_refill_downgrade,2023Q4,7,core,7,RSI,original_top10,,,18.0822,24.3836,18.0822,15.3425,42.7397
top15_v4_core_deterioration_refill_downgrade,2023Q4,8,core,8,AIOT,original_top10,,,10.0962,11.5385,9.6154,51.4423,56.2500
top15_v4_core_deterioration_refill_downgrade,2023Q4,9,core,9,GIII,next_ranked_core_candidate,NPKI,,15.2834,14.5749,6.7139,-0.9447,-0.5061
top15_v4_core_deterioration_refill_downgrade,2023Q4,10,core,10,AMRX,next_ranked_core_candidate,POWL,,21.1864,20.9040,27.6836,65.8192,54.5198
top15_v4_core_deterioration_refill_downgrade,2023Q4,11,right_tail_exception,1,GRBK,,,106.0,16.1039,23.013,26.0519,34.6494,36.8831
top15_v4_core_deterioration_refill_downgrade,2023Q4,12,right_tail_exception,2,TGLS,,,106.0,19.8053,17.6905,29.1037,49.5133,57.2004
top15_v4_core_deterioration_refill_downgrade,2023Q4,13,right_tail_exception,3,DXCM,,,103.0,2.2754,12.9839,22.916,33.2363,36.4283
top15_v4_core_deterioration_refill_downgrade,2023Q4,14,right_tail_exception,4,XYZ,,,103.0,2.4016,17.4213,27.9528,42.1654,31.2402
top15_v4_core_deterioration_refill_downgrade,2023Q4,15,right_tail_exception,5,HIMS,,,102.0,10.3397,22.1566,28.8035,30.1329,26.4402
top15_v4_core_deterioration_refill_strict,2024Q1,1,core,1,RSI,original_top10,,,-17.5978,-9.7765,-1.1173,16.2011,27.0950
top15_v4_core_deterioration_refill_strict,2024Q1,2,core,2,HRTG,original_top10,,,16.8362,24.1808,13.1073,1.1299,-7.9096
top15_v4_core_deterioration_refill_strict,2024Q1,3,core,3,AIOT,original_top10,,,43.3437,58.5139,29.7214,69.6594,39.3189
top15_v4_core_deterioration_refill_strict,2024Q1,4,core,4,ANF,original_top10,,,2.2431,-2.0477,-6.6667,0.3673,37.3427
top15_v4_core_deterioration_refill_strict,2024Q1,5,core,5,MU,original_top10,,,9.6410,7.7887,-3.7488,13.7867,27.1853
top15_v4_core_deterioration_refill_strict,2024Q1,6,core,6,FTAI,original_top10,,,0.3621,-1.0,13.7931,25.3276,38.8793
top15_v4_core_deterioration_refill_strict,2024Q1,7,core,7,RBBN,original_top10,,,-2.7950,-9.0062,-12.4224,-17.0807,2.4845
top15_v4_core_deterioration_refill_strict,2024Q1,8,core,8,NET,original_top10,,,-10.9991,-10.4995,-11.8438,-11.8983,-33.3878
top15_v4_core_deterioration_refill_strict,2024Q1,9,core,9,SHAK,original_top10,,,2.2858,5.6337,5.9877,-2.3667,2.6196
top15_v4_core_deterioration_refill_strict,2024Q1,10,core,10,VRT,original_top10,,,14.0471,16.7197,30.3691,21.015,59.2905
top15_v4_core_deterioration_refill_strict,2024Q1,11,right_tail_exception,1,VST,,,124.0,9.1576,25.5171,34.5055,46.5965,94.8477
top15_v4_core_deterioration_refill_strict,2024Q1,12,right_tail_exception,2,CIFR,,,117.0,35.2740,78.7671,38.6986,53.0822,31.8493
top15_v4_core_deterioration_refill_strict,2024Q1,13,right_tail_exception,3,UIS,,,114.0,0.0000,-5.2930,-6.2382,4.7259,-11.3422
top15_v4_core_deterioration_refill_strict,2024Q1,14,right_tail_exception,4,HIMS,,,112.0,15.6529,27.1695,25.4663,1.7843,54.9067
top15_v4_core_deterioration_refill_strict,2024Q1,15,right_tail_exception,5,MEG,,,100.0,-2.6154,-7.1159,-7.163,2.3091,8.6711
top15_v4_core_deterioration_refill_downgrade,2024Q1,1,core,1,RSI,original_top10,,,-17.5978,-9.7765,-1.1173,16.2011,27.0950
top15_v4_core_deterioration_refill_downgrade,2024Q1,2,core,2,MU,original_top10,,,9.6410,7.7887,-3.7488,13.7867,27.1853
top15_v4_core_deterioration_refill_downgrade,2024Q1,3,core,3,FTAI,original_top10,,,0.3621,-1.0,13.7931,25.3276,38.8793
top15_v4_core_deterioration_refill_downgrade,2024Q1,4,core,4,NET,original_top10,,,-10.9991,-10.4995,-11.8438,-11.8983,-33.3878
top15_v4_core_deterioration_refill_downgrade,2024Q1,5,core,5,SHAK,original_top10,,,2.2858,5.6337,5.9877,-2.3667,2.6196
top15_v4_core_deterioration_refill_downgrade,2024Q1,6,core,6,VRT,original_top10,,,14.0471,16.7197,30.3691,21.015,59.2905
top15_v4_core_deterioration_refill_downgrade,2024Q1,7,core,7,COMP,next_ranked_core_candidate,HRTG,,4.2980,-14.8997,4.2980,-6.3037,14.0401
top15_v4_core_deterioration_refill_downgrade,2024Q1,8,core,8,BVS,next_ranked_core_candidate,AIOT,,-10.0000,-11.5789,-19.8246,0.3509,14.5614
top15_v4_core_deterioration_refill_downgrade,2024Q1,9,core,9,CIFR,next_ranked_core_candidate,ANF,,35.2740,78.7671,38.6986,53.0822,31.8493
top15_v4_core_deterioration_refill_downgrade,2024Q1,10,core,10,NVRI,next_ranked_core_candidate,RBBN,,4.9936,9.7311,13.3163,-0.3841,7.6825
top15_v4_core_deterioration_refill_downgrade,2024Q1,11,right_tail_exception,1,LYFT,,,108.0,6.4753,12.5501,15.0200,20.0267,13.7517
top15_v4_core_deterioration_refill_downgrade,2024Q1,12,right_tail_exception,2,SLQT,,,101.0,46.9565,54.7826,55.6522,73.9130,117.3913
top15_v4_core_deterioration_refill_downgrade,2024Q1,13,right_tail_exception,3,EAT,,,92.0,5.7235,3.4387,7.9621,17.609,26.8174
top15_v4_core_deterioration_refill_downgrade,2024Q1,14,right_tail_exception,4,AVNW,,,89.0,-3.3879,-1.8884,-1.2219,-2.9436,-13.4407
top15_v4_core_deterioration_refill_downgrade,2024Q1,15,right_tail_exception,5,GNRC,,,89.0,-7.0599,-6.6812,-5.8314,8.137,22.0969
top15_v4_core_deterioration_refill_strict,2024Q2,1,core,1,SLQT,original_top10,,,3.7453,14.9813,5.9925,16.1049,16.1049
top15_v4_core_deterioration_refill_strict,2024Q2,2,core,2,CIFR,original_top10,,,6.9705,7.2386,8.0429,23.8606,6.4343
top15_v4_core_deterioration_refill_strict,2024Q2,3,core,3,REAL,original_top10,,,10.4326,3.8168,-8.9059,-12.2137,-21.1196
top15_v4_core_deterioration_refill_strict,2024Q2,4,core,4,NPKI,original_top10,,,-1.6086,2.4129,11.9303,6.5684,5.7641
top15_v4_core_deterioration_refill_strict,2024Q2,5,core,5,ARLO,original_top10,,,-7.2353,8.6062,0.3808,25.8187,2.8180
top15_v4_core_deterioration_refill_strict,2024Q2,6,core,6,MLR,original_top10,,,6.369,2.7753,3.8605,-2.9176,9.589
top15_v4_core_deterioration_refill_strict,2024Q2,7,core,7,NTRA,original_top10,,,-1.665,1.8592,3.2837,1.221,-0.3792
top15_v4_core_deterioration_refill_strict,2024Q2,8,core,8,VST,original_top10,,,2.1773,15.699,-1.4962,3.707,-17.4297
top15_v4_core_deterioration_refill_strict,2024Q2,9,core,9,COMP,next_ranked_core_candidate,LFST,,18.3060,3.5519,-3.5519,-0.8197,13.6612
top15_v4_core_deterioration_refill_strict,2024Q2,10,core,10,HRTG,next_ranked_core_candidate,KRO,,15.3350,5.5412,6.1856,-18.0412,-1.1598
top15_v4_core_deterioration_refill_strict,2024Q2,11,right_tail_exception,1,EBS,,,105.0,81.6949,70.1695,107.1186,139.3220,330.8475
top15_v4_core_deterioration_refill_strict,2024Q2,12,right_tail_exception,2,LTH,,,94.0,10.5935,23.9669,29.7521,38.6927,56.0481
top15_v4_core_deterioration_refill_strict,2024Q2,13,right_tail_exception,3,WAB,,,89.0,0.3694,4.0451,3.8788,-0.2524,-3.1646
top15_v4_core_deterioration_refill_strict,2024Q2,14,right_tail_exception,4,MU,,,87.0,-3.7558,-11.9965,-20.5759,-27.1596,-29.4720
top15_v4_core_deterioration_refill_strict,2024Q2,15,right_tail_exception,5,GHM,,,86.0,3.4867,2.8397,-1.8692,2.4443,0.8267
top15_v4_core_deterioration_refill_downgrade,2024Q2,1,core,1,SLQT,original_top10,,,3.7453,14.9813,5.9925,16.1049,16.1049
top15_v4_core_deterioration_refill_downgrade,2024Q2,2,core,2,CIFR,original_top10,,,6.9705,7.2386,8.0429,23.8606,6.4343
top15_v4_core_deterioration_refill_downgrade,2024Q2,3,core,3,ARLO,original_top10,,,-7.2353,8.6062,0.3808,25.8187,2.8180
top15_v4_core_deterioration_refill_downgrade,2024Q2,4,core,4,MLR,original_top10,,,6.369,2.7753,3.8605,-2.9176,9.589
top15_v4_core_deterioration_refill_downgrade,2024Q2,5,core,5,HRTG,next_ranked_core_candidate,REAL,,15.3350,5.5412,6.1856,-18.0412,-1.1598
top15_v4_core_deterioration_refill_downgrade,2024Q2,6,core,6,RSI,next_ranked_core_candidate,LFST,,9.7964,8.6514,10.9415,20.3562,27.3537
top15_v4_core_deterioration_refill_downgrade,2024Q2,7,core,7,WAB,next_ranked_core_candidate,NPKI,,0.3694,4.0451,3.8788,-0.2524,-3.1646
top15_v4_core_deterioration_refill_downgrade,2024Q2,8,core,8,EBS,next_ranked_core_candidate,KRO,,81.6949,70.1695,107.1186,139.3220,330.8475
top15_v4_core_deterioration_refill_downgrade,2024Q2,9,core,9,AMRX,next_ranked_core_candidate,NTRA,,-1.0264,-0.4399,-0.1466,-2.1994,-1.7595
top15_v4_core_deterioration_refill_downgrade,2024Q2,10,core,10,CTLP,next_ranked_core_candidate,VST,,2.1739,11.0248,8.3851,-0.6211,6.8323
top15_v4_core_deterioration_refill_downgrade,2024Q2,11,right_tail_exception,1,LTH,,,94.0,10.5935,23.9669,29.7521,38.6927,56.0481
top15_v4_core_deterioration_refill_downgrade,2024Q2,12,right_tail_exception,2,HIMS,,,92.0,6.8573,40.0807,58.1958,50.4217,30.8397
top15_v4_core_deterioration_refill_downgrade,2024Q2,13,right_tail_exception,3,MU,,,87.0,-3.7558,-11.9965,-20.5759,-27.1596,-29.4720
top15_v4_core_deterioration_refill_downgrade,2024Q2,14,right_tail_exception,4,LHX,,,78.0,1.2733,4.7347,3.2162,5.876,14.7229
top15_v4_core_deterioration_refill_downgrade,2024Q2,15,right_tail_exception,5,NET,,,77.0,-5.9568,-5.8929,-13.8054,8.7179,-4.8958
top15_v4_core_deterioration_refill_strict,2024Q3,1,core,1,COMP,original_top10,,,-11.8896,0.6369,9.1295,29.7240,18.0467
top15_v4_core_deterioration_refill_strict,2024Q3,2,core,2,AAOI,original_top10,,,3.6145,10.6024,42.2892,80.0000,99.2771
top15_v4_core_deterioration_refill_strict,2024Q3,3,core,3,CTLP,original_top10,,,20.1342,32.0470,54.5302,54.8658,59.7316
top15_v4_core_deterioration_refill_strict,2024Q3,4,core,4,DCGO,original_top10,,,7.3171,10.6707,10.9756,-3.9634,11.2805
top15_v4_core_deterioration_refill_strict,2024Q3,5,core,5,RSI,original_top10,,,-21.8261,-17.7391,-21.5652,-5.6522,-6.4348
top15_v4_core_deterioration_refill_strict,2024Q3,6,core,6,EVER,original_top10,,,-20.8961,-14.8029,-20.0,-29.2473,-37.957
top15_v4_core_deterioration_refill_strict,2024Q3,7,core,7,VERX,original_top10,,,3.5663,7.3039,2.5107,16.9472,41.9686
top15_v4_core_deterioration_refill_strict,2024Q3,8,core,8,GBTG,original_top10,,,-0.4219,-0.1407,-1.6878,6.3291,8.7201
top15_v4_core_deterioration_refill_strict,2024Q3,9,core,9,CRTO,original_top10,,,2.2907,4.6029,-4.817,-14.0227,-27.8955
top15_v4_core_deterioration_refill_strict,2024Q3,10,core,10,DRS,next_ranked_core_candidate,SWIM,,-3.3145,-2.5741,0.6347,-0.4937,0.141
top15_v4_core_deterioration_refill_strict,2024Q3,11,right_tail_exception,1,PBI,,,112.0,5.3446,-0.9845,-8.8608,-3.7975,13.2208
top15_v4_core_deterioration_refill_strict,2024Q3,12,right_tail_exception,2,CRDO,,,105.0,1.5734,9.1109,19.0633,46.6154,152.5064
top15_v4_core_deterioration_refill_strict,2024Q3,13,right_tail_exception,3,CDE,,,100.0,18.8679,14.7170,-0.1887,16.7924,11.5094
top15_v4_core_deterioration_refill_strict,2024Q3,14,right_tail_exception,4,TRUP,,,94.0,19.0385,29.7527,17.7747,21.5659,34.3956
top15_v4_core_deterioration_refill_strict,2024Q3,15,right_tail_exception,5,GLW,,,89.0,1.7451,-1.9977,-11.3433,-5.9242,1.2859
top15_v4_core_deterioration_refill_downgrade,2024Q3,1,core,1,AAOI,original_top10,,,3.6145,10.6024,42.2892,80.0000,99.2771
top15_v4_core_deterioration_refill_downgrade,2024Q3,2,core,2,CTLP,original_top10,,,20.1342,32.0470,54.5302,54.8658,59.7316
top15_v4_core_deterioration_refill_downgrade,2024Q3,3,core,3,DCGO,original_top10,,,7.3171,10.6707,10.9756,-3.9634,11.2805
top15_v4_core_deterioration_refill_downgrade,2024Q3,4,core,4,RSI,original_top10,,,-21.8261,-17.7391,-21.5652,-5.6522,-6.4348
top15_v4_core_deterioration_refill_downgrade,2024Q3,5,core,5,CRTO,original_top10,,,2.2907,4.6029,-4.817,-14.0227,-27.8955
top15_v4_core_deterioration_refill_downgrade,2024Q3,6,core,6,GLW,next_ranked_core_candidate,COMP,,1.7451,-1.9977,-11.3433,-5.9242,1.2859
top15_v4_core_deterioration_refill_downgrade,2024Q3,7,core,7,RBLX,next_ranked_core_candidate,EVER,,-2.1628,13.6715,12.518,14.1172,35.5879
top15_v4_core_deterioration_refill_downgrade,2024Q3,8,core,8,EPM,next_ranked_core_candidate,VERX,,12.7049,11.4754,15.5738,13.7295,14.9590
top15_v4_core_deterioration_refill_downgrade,2024Q3,9,core,9,LFST,next_ranked_core_candidate,GBTG,,0.8681,8.6806,21.0069,18.4028,33.3333
top15_v4_core_deterioration_refill_downgrade,2024Q3,10,core,10,CIFR,next_ranked_core_candidate,SWIM,,0.2500,-20.0000,-22.7500,8.0000,83.7500
top15_v4_core_deterioration_refill_downgrade,2024Q3,11,right_tail_exception,1,BVS,,,99.0,-4.3062,15.5502,13.9952,33.8517,37.3206
top15_v4_core_deterioration_refill_downgrade,2024Q3,12,right_tail_exception,2,LYFT,,,99.0,25.9501,24.4300,17.2638,35.8306,56.3518
top15_v4_core_deterioration_refill_downgrade,2024Q3,13,right_tail_exception,3,HCI,,,80.0,1.2691,2.2263,7.4962,4.5924,24.188
top15_v4_core_deterioration_refill_downgrade,2024Q3,14,right_tail_exception,4,LIVN,,,80.0,-12.9964,-7.14,-0.5616,5.3751,2.9683
top15_v4_core_deterioration_refill_downgrade,2024Q3,15,right_tail_exception,5,XYZ,,,80.0,4.5167,9.2216,9.7861,12.8144,23.7297
top15_v4_core_deterioration_refill_strict,2024Q4,1,core,1,COMP,original_top10,,,14.2857,8.2353,20.0000,-2.6891,22.1849
top15_v4_core_deterioration_refill_strict,2024Q4,2,core,2,GEV,original_top10,,,3.3764,16.6019,15.1044,20.6816,49.4349
top15_v4_core_deterioration_refill_strict,2024Q4,3,core,3,MU,original_top10,,,-5.2953,10.3575,21.4254,18.5502,13.2993
top15_v4_core_deterioration_refill_strict,2024Q4,4,core,4,CORZ,original_top10,,,9.4737,24.2807,12.5614,6.1053,-10.8070
top15_v4_core_deterioration_refill_strict,2024Q4,5,core,5,CDE,original_top10,,,2.5078,1.7241,11.4420,-4.2320,11.1285
top15_v4_core_deterioration_refill_strict,2024Q4,6,core,6,XMTR,original_top10,,,7.0245,12.6081,15.3458,51.2968,25.7205
top15_v4_core_deterioration_refill_strict,2024Q4,7,core,7,LFST,original_top10,,,-9.0791,-2.4643,-3.6316,-2.4643,3.5019
top15_v4_core_deterioration_refill_strict,2024Q4,8,core,8,PAR,original_top10,,,4.2973,7.3514,4.9324,-8.3243,-3.3784
top15_v4_core_deterioration_refill_strict,2024Q4,9,core,9,PBI,next_ranked_core_candidate,VSCO,,-16.9704,-8.2004,-10.2506,-18.1093,-1.3667
top15_v4_core_deterioration_refill_strict,2024Q4,10,core,10,CNK,next_ranked_core_candidate,PTON,,8.5848,8.1489,20.7914,3.89,-3.2528
top15_v4_core_deterioration_refill_strict,2024Q4,11,right_tail_exception,1,BNED,,,109.0,-5.2381,4.1905,9.6190,-2.5714,5.7143
top15_v4_core_deterioration_refill_strict,2024Q4,12,right_tail_exception,2,STGW,,,108.0,1.0884,6.9388,1.4966,-15.9184,-13.3333
top15_v4_core_deterioration_refill_strict,2024Q4,13,right_tail_exception,3,AAOI,,,93.0,40.1026,111.3846,85.4359,69.1282,55.7949
top15_v4_core_deterioration_refill_strict,2024Q4,14,right_tail_exception,4,TRUP,,,92.0,0.0955,-1.0313,2.4637,-6.6272,-8.919
top15_v4_core_deterioration_refill_strict,2024Q4,15,right_tail_exception,5,NTRA,,,90.0,5.6763,8.749,7.0648,8.8326,9.0962
top15_v4_core_deterioration_refill_downgrade,2024Q4,1,core,1,COMP,original_top10,,,14.2857,8.2353,20.0000,-2.6891,22.1849
top15_v4_core_deterioration_refill_downgrade,2024Q4,2,core,2,MU,original_top10,,,-5.2953,10.3575,21.4254,18.5502,13.2993
top15_v4_core_deterioration_refill_downgrade,2024Q4,3,core,3,CORZ,original_top10,,,9.4737,24.2807,12.5614,6.1053,-10.8070
top15_v4_core_deterioration_refill_downgrade,2024Q4,4,core,4,CNK,next_ranked_core_candidate,VSCO,,8.5848,8.1489,20.7914,3.89,-3.2528
top15_v4_core_deterioration_refill_downgrade,2024Q4,5,core,5,TRUP,next_ranked_core_candidate,GEV,,0.0955,-1.0313,2.4637,-6.6272,-8.919
top15_v4_core_deterioration_refill_downgrade,2024Q4,6,core,6,DCGO,next_ranked_core_candidate,PTON,,5.8201,14.5503,8.9947,11.6402,29.8942
top15_v4_core_deterioration_refill_downgrade,2024Q4,7,core,7,RBLX,next_ranked_core_candidate,CDE,,6.7501,-3.4436,2.0544,13.2068,39.6596
top15_v4_core_deterioration_refill_downgrade,2024Q4,8,core,8,AIOT,next_ranked_core_candidate,XMTR,,38.8679,32.8302,24.7170,6.2264,60.5660
top15_v4_core_deterioration_refill_downgrade,2024Q4,9,core,9,TBLA,next_ranked_core_candidate,LFST,,-5.7229,7.2289,20.7831,12.3494,17.7711
top15_v4_core_deterioration_refill_downgrade,2024Q4,10,core,10,EPM,next_ranked_core_candidate,PAR,,5.2065,5.0269,-1.4363,-2.1544,-4.8474
top15_v4_core_deterioration_refill_downgrade,2024Q4,11,right_tail_exception,1,LC,,,108.0,-7.4728,5.6386,12.6359,10.8696,16.1005
top15_v4_core_deterioration_refill_downgrade,2024Q4,12,right_tail_exception,2,JBLU,,,103.0,4.5977,-2.1346,-1.9704,31.5271,-1.3136
top15_v4_core_deterioration_refill_downgrade,2024Q4,13,right_tail_exception,3,AAOI,,,93.0,40.1026,111.3846,85.4359,69.1282,55.7949
