Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today,revenue_value,net_income_margin,operating_cash_flow_margin,fcf_proxy,fcf_proxy_margin,financing_dependence,accrual_spread,asset_turnover,cash_quality_score,cash_quality_bucket
CXM,$100M-$500M,2808000,1223110000,12692000,-28577000,18560000,-45.9938,173363000.0,0.016197,0.107059,-10017000.0,-0.05778,0.073211,-0.090861,0.14174,-0.114794,-1 to 0 mixed
CXW,$100M-$500M,12400000,3105399000,-176310000,-10507000,89828000,57.5058,458002000.0,0.027074,0.19613,79321000.0,0.173189,0.0,-0.169056,0.147486,0.200263,0 to 1 okay
CYH,$2B-$10B,-51000000,14455000000,40000000,-19000000,5000000,-16.8639,3108000000.0,-0.016409,0.001609,-14000000.0,-0.004505,0.01287,-0.018018,0.215012,-0.033784,-1 to 0 mixed
CZR,$2B-$10B,-136000000,33366000000,-23000000,-231000000,174000000,-28.8249,2830000000.0,-0.048057,0.061484,-57000000.0,-0.020141,0.0,-0.109541,0.084817,-0.068198,-1 to 0 mixed
D,$2B-$10B,981000000,109032000000,1820000000,-2302000000,2097000000,27.2866,3883000000.0,0.25264,0.540046,-205000000.0,-0.052794,0.46871,-0.287407,0.035613,-0.268864,-1 to 0 mixed
DAL,$10B-$50B,-363000000,73134000000,-1179000000,-1100000000,2235000000,43.0036,12759000000.0,-0.028451,0.17517,1135000000.0,0.088957,0.0,-0.203621,0.174461,0.060506,0 to 1 okay
DAN,$2B-$10B,28000000,7965000000,255000000,-118000000,-170000000,216.8585,2644000000.0,0.01059,-0.064297,-288000000.0,-0.108926,0.096445,0.074887,0.331952,-0.344554,-1 to 0 mixed
DASH,$2B-$10B,-161000000,10839000000,-390000000,-10000000,397000000,49.3402,2035000000.0,-0.079115,0.195086,387000000.0,0.190172,0.0,-0.274201,0.187748,0.111057,0 to 1 okay
DBD,$500M-$1B,-111100000,4162000000,21100000,-1700000,-95900000,114.4737,858100000.0,-0.129472,-0.111759,-97600000.0,-0.11374,0.024589,-0.017714,0.206175,-0.267801,-1 to 0 mixed
DBI,$500M-$1B,11415000,2134495000,93507000,-123935000,22546000,12.172,742082000.0,0.015382,0.030382,-101389000.0,-0.136628,0.126006,-0.015,0.347662,-0.247252,-1 to 0 mixed
DBX,$500M-$1B,69000000,2983500000,-241300000,200800000,139900000,7.694,611100000.0,0.112911,0.228931,340700000.0,0.557519,0.0,-0.11602,0.204827,0.67043,0 to 1 okay
DCGO,$100M-$500M,-3918790,407545176,-11951059,-1689495,-23117951,-77.2774,113002703.0,-0.034679,-0.204579,-24807446.0,-0.21953,0.0,0.1699,0.277277,-0.594008,-1 to 0 mixed
DCH,$1B-$2B,-5100000,5356300000,-49100000,-30500000,32100000,-18.1108,1493900000.0,-0.003414,0.021487,1600000.0,0.001071,0.0,-0.024901,0.278905,-0.002343,-1 to 0 mixed
DCO,$100M-$500M,5231000,1120919000,-4841000,-5362000,-18928000,141.6065,181191000.0,0.02887,-0.104464,-24290000.0,-0.134057,0.0,0.133334,0.161645,-0.371856,-1 to 0 mixed
DD,$2B-$10B,257000000,38552000000,-213000000,-229000000,209000000,38.1519,3018000000.0,0.085156,0.069251,-20000000.0,-0.006627,0.0,0.015905,0.078284,0.04672,0 to 1 okay
DDD,$100M-$500M,-97158000,1446613000,-12981000,-374116000,-52449000,-28.8274,405299000.0,-0.239719,-0.129408,-426565000.0,-1.05247,0.0,-0.110311,0.280171,-1.292189,-2 to -1 weak
DDOG,$100M-$500M,-24086000,3936072000,2098000,-256248000,133787000,-9.7179,481714000.0,-0.050001,0.277731,-122461000.0,-0.254219,0.004355,-0.327732,0.122384,-0.308575,-1 to 0 mixed
DE,$10B-$50B,4819000000,98347000000,2017000000,-1494000000,-147000000,62.455,30038000000.0,0.16043,-0.004894,-1641000000.0,-0.054631,0.067148,0.165324,0.305429,-0.291997,-1 to 0 mixed
DECK,$2B-$10B,451949000,2556203000,-367482000,-51009000,172353000,-33.6784,3150339000.0,0.14346,0.054709,121344000.0,0.038518,0.0,0.088751,1.232429,0.004476,0 to 1 okay
DEI,$100M-$500M,18373000,9644218000,-60929000,-51403000,145474000,-18.0316,252393000.0,0.072795,0.576379,94071000.0,0.372716,0.0,-0.503584,0.02617,0.445512,0 to 1 okay
DELL,$10B-$50B,583000000,82089000000,-2002000000,-684000000,1777000000,56.7501,20922000000.0,0.027865,0.084935,1093000000.0,0.052242,0.0,-0.057069,0.25487,0.080107,0 to 1 okay
DFIN,$100M-$500M,15800000,871300000,47700000,-1700000,-51500000,-14.189,198600000.0,0.079557,-0.259315,-53200000.0,-0.267875,0.240181,0.338872,0.227935,-1.106244,-2 to -1 weak
DG,$2B-$10B,514380000,30795591000,101975000,-361602000,191115000,-10.4615,9342832000.0,0.055056,0.020456,-170487000.0,-0.018248,0.010915,0.0346,0.303382,-0.043307,-1 to 0 mixed
DGII,$100M-$500M,11678000,835531000,-10187000,-2855000,9607000,144.7049,220450000.0,0.052973,0.043579,6752000.0,0.030628,0.0,0.009394,0.263844,0.064813,0 to 1 okay
DGX,$2B-$10B,202000000,14022000000,-76000000,-158000000,94000000,42.9537,2331000000.0,0.086658,0.040326,-64000000.0,-0.027456,0.0,0.046332,0.166239,-0.033462,-1 to 0 mixed
DHI,$10B-$50B,1900900000,32582400000,-791300000,-180600000,1473600000,13.1986,15230600000.0,0.124808,0.096753,1293000000.0,0.084895,0.0,0.028055,0.467449,0.153592,0 to 1 okay
DHR,$2B-$10B,1450000000,84488000000,-262000000,-304000000,1947000000,-21.5177,5949000000.0,0.243738,0.327282,1643000000.0,0.276181,0.0,-0.083543,0.070412,0.519919,0 to 1 okay
DIN,$100M-$500M,27410000,1740287000,-93217000,-12739000,16076000,-23.201,213767000.0,0.128224,0.075203,3337000.0,0.01561,0.0,0.05302,0.122834,0.037793,0 to 1 okay
DIOD,$100M-$500M,71150000,2285561000,-70318000,-48131000,99811000,39.4847,467241000.0,0.152277,0.213618,51680000.0,0.110607,0.0,-0.061341,0.204432,0.262884,0 to 1 okay
DIS,$10B-$50B,2550000000,205579000000,-1126000000,-2541000000,2262000000,-0.2213,45327000000.0,0.056258,0.049904,-279000000.0,-0.006155,0.0,0.006354,0.220485,0.037395,0 to 1 okay
DK,$2B-$10B,64300000,7171800000,-149300000,-222100000,395100000,63.2772,3924300000.0,0.016385,0.10068,173000000.0,0.044084,0.0,-0.084295,0.547185,0.060469,0 to 1 okay
DLR,$1B-$2B,68726000,44113258000,390908000,-749007000,349726000,28.2461,1338723000.0,0.051337,0.261239,-399281000.0,-0.298255,0.292001,-0.209902,0.030347,-0.538919,-1 to 0 mixed
DLTR,$2B-$10B,299000000,23108600000,-167600000,-352700000,752000000,-7.8881,7323800000.0,0.040826,0.102679,399300000.0,0.054521,0.0,-0.061853,0.31693,0.095347,0 to 1 okay
DLX,$500M-$1B,2752000,3080622000,-122288000,-25484000,-6706000,35.918,545365000.0,0.005046,-0.012296,-32190000.0,-0.059025,0.0,0.017343,0.177031,-0.088664,-1 to 0 mixed
DNOW,$500M-$1B,31000000,1529000000,-34000000,-5000000,-6000000,-6.8478,584000000.0,0.053082,-0.010274,-11000000.0,-0.018836,0.0,0.063356,0.381949,-0.092466,-1 to 0 mixed
DNUT,$100M-$500M,-301000,3240592000,1808000,-16446000,10365000,-63.2216,418950000.0,-0.000718,0.02474,-6081000.0,-0.014515,0.004316,-0.025459,0.129282,-0.019549,-1 to 0 mixed
DOC,$500M-$1B,118952000,15698850000,-239875000,56345000,173921000,-16.0714,525678000.0,0.226283,0.330851,230266000.0,0.438036,0.0,-0.104568,0.033485,0.664319,0 to 1 okay
DOCN,$100M-$500M,-16370000,1460967000,-264230000,107956000,36215000,176.8564,165134000.0,-0.099132,0.219307,144171000.0,0.873055,0.0,-0.318438,0.113031,0.773923,0 to 1 okay
DOCU,$500M-$1B,539000,2971290000,-20904000,7812000,233635000,-13.577,661388000.0,0.000815,0.35325,241447000.0,0.365061,0.0,-0.352435,0.222593,0.365876,0 to 1 okay
DOV,$2B-$10B,228574000,11348513000,-306565000,-43556000,241284000,24.7166,2079023000.0,0.109943,0.116056,197728000.0,0.095106,0.0,-0.006113,0.183198,0.205049,0 to 1 okay
DOW,$10B-$50B,-93000000,57967000000,-854000000,-150000000,535000000,-25.8868,11851000000.0,-0.007847,0.045144,385000000.0,0.032487,0.0,-0.052991,0.204444,0.024639,0 to 1 okay
DPZ,$1B-$2B,104770000,1674899000,-45281000,-19603000,114682000,-35.7099,1024398000.0,0.102275,0.111951,95079000.0,0.092815,0.0,-0.009676,0.611618,0.195089,0 to 1 okay
DRH,$100M-$500M,9156000,3238687000,-21063000,-21642000,58069000,21.8527,243553000.0,0.037593,0.238424,36427000.0,0.149565,0.0,-0.200831,0.075201,0.187158,0 to 1 okay
DRI,$2B-$10B,666800000,10241500000,-862700000,-409500000,,31.8424,7718800000.0,0.086386,,,,0.0,,0.753679,,missing
DRS,$500M-$1B,12000000,3921000000,216000000,-14000000,-334000000,57.9102,569000000.0,0.02109,-0.586995,-348000000.0,-0.611599,0.379613,0.608084,0.145116,-2.186292,<=-2 bad
DRVN,$500M-$1B,29749000,5910804000,108492000,-181690000,36792000,0.3906,562467000.0,0.05289,0.065412,-144898000.0,-0.257612,0.192886,-0.012522,0.095159,-0.397607,-1 to 0 mixed
DSGR,$100M-$500M,5907000,1550331000,-2394000,-5094000,13858000,-8.9203,348270000.0,0.016961,0.039791,8764000.0,0.025164,0.0,-0.02283,0.224642,0.042125,0 to 1 okay
DTE,$2B-$10B,445000000,44755000000,151000000,-981000000,924000000,33.3583,3236000000.0,0.137515,0.285538,-57000000.0,-0.017614,0.046663,-0.148022,0.072305,0.073239,0 to 1 okay
DUK,$2B-$10B,804000000,176893000000,1747000000,-3209000000,1483000000,30.6463,5928000000.0,0.135628,0.250169,-1726000000.0,-0.291161,0.294703,-0.114541,0.033512,-0.450236,-1 to 0 mixed
DUOL,$100M-$500M,-2582000,953957000,4619000,-1312000,29604000,-49.9325,115661000.0,-0.022324,0.255955,28292000.0,0.244611,0.039936,-0.278279,0.121243,0.182352,0 to 1 okay
DVA,$2B-$10B,115547000,16893578000,-275912000,-116544000,462557000,8.6635,2872699000.0,0.040222,0.161018,346013000.0,0.120449,0.0,-0.120796,0.170047,0.160671,0 to 1 okay
DVN,$2B-$10B,995000000,24490000000,-1211000000,-1033000000,1677000000,0.6184,3823000000.0,0.260267,0.438661,644000000.0,0.168454,0.0,-0.178394,0.156105,0.428721,0 to 1 okay
DXLG,$100M-$500M,6967000,357741000,-230000,-17677000,-4234000,-81.7686,125442000.0,0.05554,-0.033753,-21911000.0,-0.17467,0.0,0.089292,0.35065,-0.297715,-1 to 0 mixed
DXPE,$100M-$500M,17580000,1177436000,-10354000,-3804000,26449000,262.2258,424267000.0,0.041436,0.06234,22645000.0,0.053374,0.0,-0.020904,0.360331,0.094811,0 to 1 okay
DY,$1B-$2B,51523000,2516885000,-34064000,-33608000,-85117000,143.9224,1045474000.0,0.049282,-0.081415,-118725000.0,-0.113561,0.0,0.130697,0.415384,-0.325672,-1 to 0 mixed
EA,$2B-$10B,789000000,13459000000,-1620000000,-2804000000,1899000000,46.0096,6991000000.0,0.112859,0.271635,-905000000.0,-0.129452,0.0,-0.158776,0.519429,-0.016593,-1 to 0 mixed
EAT,$2B-$10B,-30200000,2487000000,-67200000,-133300000,200800000,85.3324,3057700000.0,-0.009877,0.06567,67500000.0,0.022075,0.0,-0.075547,1.229473,0.012199,0 to 1 okay
EBAY,$2B-$10B,567000000,21620000000,-1388000000,701000000,841000000,86.221,2510000000.0,0.225896,0.33506,1542000000.0,0.614343,0.0,-0.109163,0.116096,0.840239,0 to 1 okay
EBF,$100M-$500M,11635000,399190000,-6459000,-7129000,21726000,-7.3449,111294000.0,0.104543,0.195213,14597000.0,0.131157,0.0,-0.09067,0.2788,0.2357,0 to 1 okay
EBS,$100M-$500M,-186200000,1823200000,-10500000,-15100000,-184000000,17.8624,164300000.0,-1.133293,-1.119903,-199100000.0,-1.211808,0.0,-0.01339,0.090116,-2.3451,<=-2 bad
ECL,$2B-$10B,233400000,21846600000,-166400000,-189400000,198200000,11.8472,3571600000.0,0.065349,0.055493,8800000.0,0.002464,0.0,0.009856,0.163485,0.048102,0 to 1 okay
ECPG,$100M-$500M,18626000,4630486000,110374000,-130715000,35913000,102.1468,312630000.0,0.059578,0.114874,-94802000.0,-0.30324,0.35305,-0.055295,0.067516,-0.596712,-1 to 0 mixed
ECVT,$100M-$500M,-1471000,1837751000,-33570000,-18698000,4114000,56.5072,160874000.0,-0.009144,0.025573,-14584000.0,-0.090655,0.0,-0.034717,0.087539,-0.099799,-1 to 0 mixed
ED,$2B-$10B,1433000000,66331000000,-3466000000,2618000000,92000000,22.0538,4403000000.0,0.32546,0.020895,2710000000.0,0.615489,0.0,0.304565,0.066379,0.331819,0 to 1 okay
EE,$100M-$500M,12844000,2860379000,-16361000,-14929000,46797000,82.1429,211056000.0,0.060856,0.221728,31868000.0,0.150993,0.0,-0.160872,0.073786,0.211849,0 to 1 okay
EEFT,$500M-$1B,20100000,5894400000,-4400000,-18100000,3300000,-28.7031,787200000.0,0.025534,0.004192,-14800000.0,-0.018801,0.0,0.021341,0.13355,-0.03595,-1 to 0 mixed
EEX,$100M-$500M,7100000,1053900000,-17500000,-13200000,8900000,-13.5563,122300000.0,0.058054,0.072772,-4300000.0,-0.035159,0.0,-0.014718,0.116045,0.022895,0 to 1 okay
EFX,$1B-$2B,112400000,12280000000,-43300000,-162600000,150900000,-28.592,1302000000.0,0.086329,0.115899,-11700000.0,-0.008986,0.0,-0.02957,0.106026,0.077343,0 to 1 okay
EG,$2B-$10B,365000000,49399000000,-103000000,-752000000,1064000000,-10.8735,3286000000.0,0.111077,0.323798,312000000.0,0.094948,0.0,-0.212721,0.06652,0.206026,0 to 1 okay
EHAB,$100M-$500M,2700000,1433600000,-14000000,-3200000,29600000,53.4078,265100000.0,0.010185,0.111656,26400000.0,0.099585,0.0,-0.101471,0.184919,0.10977,0 to 1 okay
EIG,$100M-$500M,23600000,3550400000,-19600000,12800000,4300000,0.1642,206500000.0,0.114286,0.020823,17100000.0,0.082809,0.0,0.093462,0.058162,0.010169,0 to 1 okay
EIX,$2B-$10B,365000000,81758000000,1316000000,-1305000000,-90000000,-5.4213,3966000000.0,0.092032,-0.022693,-1395000000.0,-0.35174,0.33182,0.114725,0.048509,-0.820978,-1 to 0 mixed
EL,$10B-$50B,1042000000,23415000000,1090000000,-527000000,1017000000,-29.1363,17737000000.0,0.058747,0.057338,490000000.0,0.027626,0.061453,0.001409,0.757506,0.022101,0 to 1 okay
ELV,$10B-$50B,1989000000,108928000000,-531000000,-3184000000,6469000000,-34.5524,42172000000.0,0.047164,0.153396,3285000000.0,0.077895,0.0,-0.106232,0.387155,0.125059,0 to 1 okay
EMBC,$500M-$1B,49200000,1214400000,-26800000,-10500000,47400000,-25.8579,552800000.0,0.089001,0.085745,36900000.0,0.066751,0.0,0.003256,0.455204,0.14924,0 to 1 okay
EME,$2B-$10B,111473000,6609721000,71506000,-25405000,-84583000,138.0032,2890432000.0,0.038566,-0.029263,-109988000.0,-0.038052,0.024739,0.067829,0.4373,-0.159884,-1 to 0 mixed
EMR,$2B-$10B,3123000000,42746000000,-3036000000,2734000000,486000000,28.4531,7129000000.0,0.43807,0.068172,3220000000.0,0.451676,0.0,0.369898,0.166776,0.149951,0 to 1 okay
ENOV,$100M-$500M,-23350000,4509334000,24498000,-34385000,7457000,-45.5349,406151000.0,-0.057491,0.01836,-26928000.0,-0.0663,0.060317,-0.075851,0.090069,-0.184109,-1 to 0 mixed
ENPH,$500M-$1B,146873000,3383012000,-71805000,-363530000,246232000,-64.9698,726016000.0,0.2023,0.339155,-117298000.0,-0.161564,0.0,-0.136855,0.214606,0.040736,0 to 1 okay
ENR,$1B-$2B,89000000,4509600000,-203400000,-18000000,210200000,-33.3895,1449200000.0,0.061413,0.145046,192200000.0,0.132625,0.0,-0.083632,0.321359,0.194038,0 to 1 okay
ENS,$100M-$500M,143911000,3616674000,98434000,-69233000,-65585000,101.5515,186052000.0,0.773499,-0.352509,-134818000.0,-0.724625,0.529067,1.126008,0.051443,-2.732209,<=-2 bad
ENSG,$500M-$1B,59852000,4177541000,-1674000,-35971000,48344000,54.7746,886841000.0,0.067489,0.054513,12373000.0,0.013952,0.0,0.012976,0.212288,0.055488,0 to 1 okay
ENTG,$500M-$1B,-88166000,8812591000,-6482000,-357000,151871000,14.2586,922396000.0,-0.095584,0.164648,151514000.0,0.164261,0.0,-0.260232,0.104668,0.068678,0 to 1 okay
ENVA,$100M-$500M,50923000,3846992000,33555000,-205429000,282016000,172.8746,483256000.0,0.105375,0.583575,76587000.0,0.158481,0.069435,-0.4782,0.125619,0.194421,0 to 1 okay
EPAM,$1B-$2B,102292000,4352365000,-15318000,-17717000,87334000,-36.3668,1210941000.0,0.084473,0.072121,69617000.0,0.05749,0.0,0.012352,0.278226,0.117258,0 to 1 okay
EPC,$1B-$2B,12400000,3740700000,-29000000,-20000000,1900000,-42.0378,1067500000.0,0.011616,0.00178,-18100000.0,-0.016956,0.0,0.009836,0.285374,-0.025012,-1 to 0 mixed
EPM,$100M-$500M,35051000,128317000,-37347000,-4265000,51719000,-11.5169,110340000.0,0.317664,0.468724,47454000.0,0.430071,0.0,-0.15106,0.859902,0.747734,0 to 1 okay
EQIX,$1B-$2B,259000000,32651000000,542000000,-522000000,692000000,44.1746,1998000000.0,0.12963,0.346346,170000000.0,0.085085,0.271271,-0.216717,0.061193,-0.056557,-1 to 0 mixed
EQR,$500M-$1B,212035000,20034564000,-355089000,43723000,393279000,-8.669,662494000.0,0.320056,0.593634,437002000.0,0.659632,0.0,-0.273578,0.033068,0.979687,0 to 1 okay
ERIE,$500M-$1B,86241000,2471964000,-55419000,-12326000,48031000,-36.042,752465000.0,0.114611,0.063832,35705000.0,0.047451,0.0,0.05078,0.3044,0.060502,0 to 1 okay
ES,$2B-$10B,493039000,55612245000,623408000,-1051550000,69157000,19.975,3795643000.0,0.129896,0.01822,-982393000.0,-0.258821,0.164243,0.111676,0.068252,-0.51652,-1 to 0 mixed
ESE,$100M-$500M,32605000,1683214000,-10719000,-34124000,-5461000,201.1354,434637000.0,0.075017,-0.012565,-39585000.0,-0.091076,0.0,0.087581,0.258219,-0.191222,-1 to 0 mixed
ESRT,$100M-$500M,11694000,4157363000,-17579000,-2631000,86363000,-38.9659,164622000.0,0.071035,0.524614,83732000.0,0.508632,0.0,-0.453579,0.039598,0.579667,0 to 1 okay
ESS,$100M-$500M,161594000,12361427000,-297600000,55158000,276919000,-4.585,412421000.0,0.391818,0.671447,332077000.0,0.805189,0.0,-0.279629,0.033364,1.197007,1 to 2 good
ETN,$2B-$10B,638000000,38432000000,-281000000,-124000000,335000000,31.3351,5483000000.0,0.11636,0.061098,211000000.0,0.038483,0.0,0.055262,0.142668,0.044319,0 to 1 okay
ETR,$2B-$10B,312299000,59703396000,2070396000,-1283591000,959543000,111.6892,2981059000.0,0.104761,0.32188,-324048000.0,-0.108702,0.694517,-0.217119,0.049931,-0.698458,-1 to 0 mixed
EVCM,$100M-$500M,-20775000,1518064000,-30409000,-4857000,12700000,8.1818,161136000.0,-0.128928,0.078815,7843000.0,0.048673,0.0,-0.207744,0.106146,-0.080255,-1 to 0 mixed
EVER,$100M-$500M,-2529000,110925000,157000,-1007000,-1237000,-23.9214,109220000.0,-0.023155,-0.011326,-2244000.0,-0.020546,0.001437,-0.011829,0.984629,-0.045138,-1 to 0 mixed
EVH,$100M-$500M,-19982000,2680308000,379729000,-394993000,-7974000,-82.2003,427690000.0,-0.046721,-0.018644,-402967000.0,-0.942194,0.88786,-0.028076,0.159567,-1.876775,-2 to -1 weak
EVRG,$1B-$2B,142600000,30976100000,137200000,-496900000,362900000,53.6505,1296800000.0,0.109963,0.279843,-134000000.0,-0.103331,0.105799,-0.16988,0.041865,-0.099167,-1 to 0 mixed
EVTC,$100M-$500M,30052000,2060263000,-40579000,-36637000,54511000,-9.5224,159814000.0,0.188044,0.34109,17874000.0,0.111843,0.0,-0.153047,0.07757,0.299886,0 to 1 okay
EW,$1B-$2B,340500000,9363200000,-206600000,500000,314100000,-6.4507,1459600000.0,0.233283,0.215196,314600000.0,0.215539,0.0,0.018087,0.155887,0.412647,0 to 1 okay
EXAS,$500M-$1B,-74151000,6471334000,133596000,82941000,-38215000,148.543,602450000.0,-0.123082,-0.063433,44726000.0,0.07424,0.221755,-0.05965,0.093095,-0.270597,-1 to 0 mixed
EXC,$2B-$10B,669000000,101546000000,1380000000,-1871000000,484000000,41.4557,5563000000.0,0.120259,0.087003,-1387000000.0,-0.249326,0.248068,0.033255,0.054783,-0.443646,-1 to 0 mixed
EXE,$2B-$10B,1389000000,14376000000,-1279000000,395000000,889000000,17.131,3370000000.0,0.412166,0.263798,1284000000.0,0.381009,0.0,0.148368,0.234418,0.496439,0 to 1 okay
EXEL,$100M-$500M,40028000,2942357000,4586000,-49592000,84408000,100.3345,408788000.0,0.097919,0.206484,34816000.0,0.085169,0.011219,-0.108565,0.138932,0.171869,0 to 1 okay
EXLS,$100M-$500M,51331000,1441972000,-91304000,43341000,16025000,-2.7751,400643000.0,0.128122,0.039998,59366000.0,0.148177,0.0,0.088123,0.277844,0.100052,0 to 1 okay
EXPD,$2B-$10B,226011000,5332577000,-226566000,-9551000,546412000,19.4293,2592589000.0,0.087176,0.210759,536861000.0,0.207075,0.0,-0.123583,0.486179,0.294251,0 to 1 okay
EXPE,$2B-$10B,-145000000,21642000000,-437000000,-195000000,3157000000,96.5262,2665000000.0,-0.054409,1.184615,2962000000.0,1.111445,0.0,-1.239024,0.12314,1.057036,1 to 2 good
EXPI,$500M-$1B,1453000,385668000,-36205000,-1782000,56144000,-42.1612,848453000.0,0.001713,0.066172,54362000.0,0.064072,0.0,-0.06446,2.199957,0.065784,0 to 1 okay
EXR,$500M-$1B,196304000,27456262000,-242603000,-86339000,281649000,-9.128,503050000.0,0.390228,0.559883,195310000.0,0.388252,0.0,-0.169655,0.018322,0.778479,0 to 1 okay
EXTR,$500M-$1B,52647000,1141707000,-151117000,-8634000,168519000,29.1078,948544000.0,0.055503,0.177661,159885000.0,0.168558,0.0,-0.122158,0.830812,0.224061,0 to 1 okay
EYE,$500M-$1B,18270000,2172511000,-28662000,-27615000,74064000,87.1115,520797000.0,0.035081,0.142213,46449000.0,0.089188,0.0,-0.107132,0.239721,0.124269,0 to 1 okay
EZPW,$500M-$1B,16778000,1420532000,29976000,-40649000,46827000,202.6591,522750000.0,0.032096,0.089578,6178000.0,0.011818,0.057343,-0.057483,0.367996,-0.013429,-1 to 0 mixed
F,$10B-$50B,1757000000,256800000000,-3874000000,-1977000000,2800000000,-3.0255,41474000000.0,0.042364,0.067512,823000000.0,0.019844,0.0,-0.025148,0.161503,0.062208,0 to 1 okay
FA,$100M-$500M,1925000,1630654000,-24163000,-6083000,38599000,-20.3611,175520000.0,0.010967,0.219912,32516000.0,0.185255,0.0,-0.208945,0.107638,0.196223,0 to 1 okay
FAST,$1B-$2B,295100000,4462900000,-348900000,-31000000,388500000,52.2756,1859100000.0,0.158733,0.208972,357500000.0,0.192297,0.0,-0.050239,0.416568,0.35103,0 to 1 okay
FBP,$100M-$500M,70698000,18909549000,177146000,50535000,115415000,32.3674,233403000.0,0.302901,0.494488,165950000.0,0.711002,0.758971,-0.191587,0.012343,0.254932,0 to 1 okay
FCFS,$500M-$1B,47388000,3869297000,-115984000,-13239000,110594000,105.8444,762739000.0,0.062129,0.144996,97355000.0,0.127639,0.0,-0.082867,0.197126,0.189767,0 to 1 okay
FDP,$1B-$2B,39000000,3184100000,-75900000,79600000,15500000,92.2654,1128500000.0,0.034559,0.013735,95100000.0,0.084271,0.0,0.020824,0.354417,0.077182,0 to 1 okay
FDS,$1B-$2B,268391000,3962922000,-285654000,-46305000,271314000,-44.7051,1019900000.0,0.263154,0.26602,225009000.0,0.220619,0.0,-0.002866,0.257361,0.483773,0 to 1 okay
FDX,>$50B,2434000000,87143000000,-2396000000,-4430000000,5401000000,25.2616,68225000000.0,0.035676,0.079165,971000000.0,0.014232,0.0,-0.043488,0.782909,0.049908,0 to 1 okay
FE,$2B-$10B,292000000,48767000000,828000000,-716000000,-112000000,28.7438,3231000000.0,0.090374,-0.034664,-828000000.0,-0.256267,0.256267,0.125039,0.066254,-0.672238,-1 to 0 mixed
FELE,$100M-$500M,37325000,1728122000,33098000,-14553000,-12019000,6.6736,484551000.0,0.07703,-0.024804,-26572000.0,-0.054838,0.068307,0.101834,0.280392,-0.249784,-1 to 0 mixed
FET,$100M-$500M,-3486000,821061000,19357000,-819000,-23128000,271.9823,188957000.0,-0.018449,-0.122398,-23947000.0,-0.126733,0.102441,0.10395,0.230138,-0.455522,-1 to 0 mixed
FFIV,$1B-$2B,153838000,5248333000,-377369000,52370000,298554000,72.5718,1403553000.0,0.109606,0.212713,350924000.0,0.250025,0.0,-0.103107,0.267428,0.359632,0 to 1 okay
FG,$500M-$1B,-195000000,70202000000,1595000000,-2408000000,1437000000,-24.7363,869000000.0,-0.224396,1.653625,-971000000.0,-1.117376,1.835443,-1.878021,0.012379,-3.177215,<=-2 bad
FHB,$100M-$500M,66818000,24926474000,231222000,25113000,82633000,31.3678,216270000.0,0.308956,0.382083,107746000.0,0.498201,1.069136,-0.073126,0.008676,-0.261978,-1 to 0 mixed
FICO,$500M-$1B,199193000,1575281000,-173245000,-11887000,182244000,-31.6255,725136000.0,0.274697,0.251324,170357000.0,0.234931,0.0,0.023374,0.460322,0.462881,0 to 1 okay
FIGS,$100M-$500M,1909000,473209000,-245000,-772000,-2881000,196.8105,120232000.0,0.015878,-0.023962,-3653000.0,-0.030383,0.0,0.03984,0.254078,-0.094185,-1 to 0 mixed
FIS,$2B-$10B,140000000,55105000000,-2538000000,-1771000000,4810000000,-39.2947,2397000000.0,0.058406,2.006675,3039000000.0,1.267835,0.0,-1.948269,0.043499,1.319566,1 to 2 good
FISV,$2B-$10B,563000000,90890000000,-1149000000,-314000000,1130000000,-59.114,4547000000.0,0.123818,0.248516,816000000.0,0.179459,0.0,-0.124698,0.050028,0.303277,0 to 1 okay
FIVE,$500M-$1B,37478000,3380509000,-15842000,-66487000,85291000,113.4587,726247000.0,0.051605,0.117441,18804000.0,0.025892,0.0,-0.065836,0.214834,0.077497,0 to 1 okay
FIVN,$100M-$500M,-27248000,1494568000,3125000,-75686000,33412000,-62.5141,218439000.0,-0.12474,0.152958,-42274000.0,-0.193528,0.014306,-0.277698,0.146155,-0.332573,-1 to 0 mixed
FIX,$1B-$2B,57216000,3305579000,-66618000,-68945000,126909000,483.8036,1174640000.0,0.048709,0.108041,57964000.0,0.049346,0.0,-0.059331,0.355351,0.098056,0 to 1 okay
FLEX,$10B-$50B,936000000,21407000000,280000000,-951000000,1024000000,202.978,24633000000.0,0.037998,0.04157,73000000.0,0.002964,0.011367,-0.003572,1.150698,0.029594,0 to 1 okay
FLNC,$1B-$2B,-49497000,1352149000,23810000,35503000,-163411000,-25.0,1008646000.0,-0.049073,-0.16201,-127908000.0,-0.126812,0.023606,0.112938,0.745958,-0.425365,-1 to 0 mixed
FLR,$2B-$10B,-107000000,6973000000,-161000000,13000000,-161000000,16.2491,3752000000.0,-0.028518,-0.04291,-148000000.0,-0.039446,0.0,0.014392,0.538075,-0.096748,-1 to 0 mixed
FLXS,$100M-$500M,289000,290550000,-26640000,-3597000,30462000,72.663,287873000.0,0.001004,0.105817,26865000.0,0.093322,0.0,-0.104814,0.990786,0.094326,0 to 1 okay
