quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,CETX,1435064,ok,True,10-Q,2024-08-14,0001493152-24-032245,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,CEVA,1173489,ok,True,10-Q,2024-08-08,0001437749-24-025558,1,0,2024-08-07,0001437749-24-025030,,False,missing_ex99_1_for_item_202
2024Q3,CF,1324404,ok,True,10-Q,2024-08-08,0001324404-24-000020,2,2,2024-08-07;2024-08-07,0001104659-24-086801;0001324404-24-000018,tm2420936d1_ex99-1.htm;cf-08072024_ex991xearnings.htm,True,included
2024Q3,CFFI,913341,ok,True,10-Q,2024-08-02,0000913341-24-000040,1,1,2024-07-24,0000913341-24-000034,cffi-20240724xex99d1.htm,True,included
2024Q3,CFFN,1490906,ok,True,10-Q,2024-08-07,0001490906-24-000028,1,1,2024-07-24,0001490906-24-000026,earningsrelease0624.htm;regulardividendrelease0724.htm,True,included
2024Q3,CFG,759944,ok,True,10-Q,2024-08-06,0000759944-24-000148,1,1,2024-07-17,0000759944-24-000138,a2q24earningsrelease.htm;cfg2q24earningspresentat.htm,True,included
2024Q3,CFLT,1699838,ok,True,10-Q,2024-07-31,0000950170-24-088632,1,1,2024-07-31,0000950170-24-088555,cflt-ex99_1.htm,True,included
2024Q3,CG,1527166,ok,True,10-Q,2024-08-06,0001527166-24-000067,1,0,2024-08-05,0001527166-24-000060,,False,missing_ex99_1_for_item_202
2024Q3,CGEM,1789972,ok,True,10-Q,2024-08-08,0000950170-24-093320,1,1,2024-08-08,0000950170-24-093314,cgem-ex99_1.htm,True,included
2024Q3,CGNX,851205,ok,True,10-Q,2024-08-01,0000851205-24-000071,1,1,2024-07-31,0000851205-24-000069,exhibit991-q22024earningsr.htm,True,included
2024Q3,CHCO,726854,ok,True,10-Q,2024-08-07,0000726854-24-000168,1,1,2024-07-23,0000726854-24-000155,chco06-30x2024exhibit991.htm,True,included
2024Q3,CHCT,1631569,ok,True,10-Q,2024-07-30,0001631569-24-000077,1,1,2024-07-30,0001631569-24-000078,earningspressrelease2024q2.htm,True,included
2024Q3,CHD,313927,ok,True,10-Q,2024-08-02,0000950170-24-090144,1,1,2024-08-02,0000950170-24-089586,chd-ex99_1.htm,True,included
2024Q3,CHDN,20212,ok,True,10-Q,2024-07-24,0000020212-24-000105,1,1,2024-07-24,0000020212-24-000100,ex991pressrelease7-24x24.htm,True,included
2024Q3,CHEF,1517175,ok,True,10-Q,2024-07-31,0001517175-24-000013,1,1,2024-07-31,0001517175-24-000012,pressreleaseex99106282024.htm,True,included
2024Q3,CHRD,1486159,ok,True,10-Q,2024-08-08,0001486159-24-000045,1,1,2024-08-07,0001486159-24-000042,chrd-q22024earningsrelease.htm,True,included
2024Q3,CHRW,1043277,ok,True,10-Q,2024-08-02,0001043277-24-000042,1,1,2024-07-31,0001043277-24-000039,ex991earningsreleaseq20630.htm;q22024earningsdeck.htm,True,included
2024Q3,CHSCL,823277,ok,True,10-Q,2024-07-10,0000823277-24-000027,1,1,2024-07-10,0000823277-24-000028,a3qfy24earningrelease.htm,True,included
2024Q3,CHSCM,823277,ok,True,10-Q,2024-07-10,0000823277-24-000027,1,1,2024-07-10,0000823277-24-000028,a3qfy24earningrelease.htm,True,included
2024Q3,CHSCN,823277,ok,True,10-Q,2024-07-10,0000823277-24-000027,1,1,2024-07-10,0000823277-24-000028,a3qfy24earningrelease.htm,True,included
2024Q3,CHSCO,823277,ok,True,10-Q,2024-07-10,0000823277-24-000027,1,1,2024-07-10,0000823277-24-000028,a3qfy24earningrelease.htm,True,included
2024Q3,CHTR,1091667,ok,True,10-Q,2024-07-26,0001091667-24-000104,1,1,2024-07-26,0001091667-24-000103,chtrex991earningsrelease63.htm,True,included
2024Q3,CI,1739940,ok,True,10-Q,2024-08-01,0001739940-24-000028,1,1,2024-08-01,0000950159-24-000233,ex99-1.htm,True,included
2024Q3,CIEN,936395,ok,True,10-Q,2024-09-04,0000936395-24-000032,1,1,2024-09-04,0000936395-24-000030,ex9912024q3earningspressre.htm;ex9922024q3earningsprese.htm;ex993pressrelease240904.htm,True,included
2024Q3,CIFR,1819989,ok,True,10-Q,2024-08-13,0000950170-24-095795,1,1,2024-08-13,0000950170-24-095751,cifr-ex99_1.htm;cifr-ex99_2.htm,True,included
2024Q3,CINF,20286,ok,True,10-Q,2024-07-25,0000020286-24-000048,1,1,2024-07-25,0000020286-24-000047,exhibit9912q24.htm;exhibit9922q24.htm,True,included
2024Q3,CIVB,944745,ok,True,10-Q,2024-08-09,0000950170-24-094734,1,1,2024-07-29,0001193125-24-186696,d814202dex991.htm,True,included
2024Q3,CL,21665,ok,True,10-Q,2024-07-26,0000021665-24-000031,1,1,2024-07-26,0000021665-24-000029,q22024pressreleasetables.htm,True,included
2024Q3,CLAR,913277,ok,True,10-Q,2024-08-01,0001558370-24-010612,1,1,2024-08-01,0001104659-24-084924,tm2420679d1_ex99-1.htm;tm2420679d1_ex99-2.htm,True,included
2024Q3,CLB,0001958086,ok,True,10-Q,2024-07-25,0000950170-24-086610,1,1,2024-07-24,0000950170-24-086092,clb-ex99_1.htm,True,included
2024Q3,CLBK,1723596,ok,True,10-Q,2024-08-09,0001723596-24-000326,1,1,2024-07-31,0001723596-24-000324,exhibit9912q20246302024.htm,True,included
2024Q3,CLDT,1476045,ok,True,10-Q,2024-08-02,0001476045-24-000045,1,1,2024-08-02,0001476045-24-000043,exhibit991-20240630.htm,True,included
2024Q3,CLDX,744218,ok,True,10-Q,2024-08-08,0001410578-24-001219,1,0,2024-08-08,0001171843-24-004603,,False,missing_ex99_1_for_item_202
2024Q3,CLFD,796505,ok,True,10-Q,2024-08-06,0001171843-24-004461,1,0,2024-08-01,0001171843-24-004354,,False,missing_ex99_1_for_item_202
2024Q3,CLMB,945983,ok,True,10-Q,2024-08-07,0001437749-24-025120,1,0,2024-08-06,0001437749-24-024891,,False,missing_ex99_1_for_item_202
2024Q3,CLNE,1368265,ok,True,10-Q,2024-08-07,0001558370-24-011362,1,1,2024-08-07,0001558370-24-011356,clne-20240807xex99d1.htm,True,included
2024Q3,CLPT,1285550,ok,True,10-Q,2024-08-07,0001285550-24-000098,1,0,2024-08-07,0001285550-24-000097,,False,missing_ex99_1_for_item_202
2024Q3,CLSK,827876,ok,True,10-Q,2024-08-09,0000950170-24-094891,1,1,2024-08-09,0000950170-24-094740,clsk-ex99_1.htm,True,included
2024Q3,CLW,1441236,ok,True,10-Q,2024-08-06,0001504337-24-000042,1,1,2024-08-06,0001504337-24-000040,clw-2024630x8kexhibit991.htm,True,included
2024Q3,CLX,21076,ok,True,10-K,2024-08-08,0000021076-24-000030,1,1,2024-08-01,0000021076-24-000027,ex991-pressreleasedatedaug.htm;ex992-supplementalinformat.htm,True,included
2024Q3,CMC,22444,ok,True,10-Q,2024-06-25,0000022444-24-000089,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,CMCO,1005229,ok,True,10-Q,2024-07-31,0001005229-24-000234,1,1,2024-07-31,0001005229-24-000231,exhibit991073124.htm,True,included
2024Q3,CMCSA,1166691,ok,True,10-Q,2024-07-23,0001166691-24-000048,1,1,2024-07-23,0001166691-24-000046,ex991-6302024.htm;ex992-6302024.htm,True,included
2024Q3,CME,1156375,ok,True,10-Q,2024-08-05,0001156375-24-000149,1,1,2024-07-24,0001156375-24-000143,exhibit9916302024.htm,True,included
2024Q3,CMG,1058090,ok,True,10-Q,2024-07-25,0001058090-24-000032,1,1,2024-07-24,0001058090-24-000030,cmg-20240724xex991.htm,True,included
2024Q3,CMI,26172,ok,True,10-Q,2024-08-01,0000026172-24-000037,1,1,2024-08-01,0000026172-24-000033,cmi2024q28-kex99.htm,True,included
2024Q3,CMP,1227654,ok,True,10-Q,2024-05-15,0001227654-24-000110,1,1,2024-09-17,0001227654-24-000168,cmp-q32024preliminaryresul.htm,True,included
2024Q3,CMPR,1262976,ok,True,10-K,2024-08-09,0001262976-24-000064,1,1,2024-07-31,0001262976-24-000061,cmpr-20240731.htm;q4_fy24quarterlyearnings.htm,True,included
2024Q3,CMRC,1626450,ok,True,10-Q,2024-08-01,0000950170-24-088947,1,1,2024-08-01,0000950170-24-088945,bigc-ex99_1.htm;bigc-ex99_2.htm,True,included
2024Q3,CMS,811156,ok,True,10-Q,2024-07-25,0000811156-24-000110,1,1,2024-07-25,0001104659-24-082494,tm2420031d1_ex99-1.htm;tm2420031d1_ex99-2.htm,True,included
2024Q3,CMT,1026655,ok,True,10-Q,2024-08-06,0001026655-24-000097,1,1,2024-08-06,0001026655-24-000095,a8-k991pressreleaseq22024.htm,True,included
2024Q3,CMTG,1666291,ok,True,10-Q,2024-08-05,0000950170-24-090737,1,1,2024-08-05,0000950170-24-090745,cmtg-ex99_1.htm;cmtg-ex99_2.htm,True,included
2024Q3,CMTL,23197,ok,True,10-Q,2024-06-18,0000023197-24-000080,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,CNC,1071739,ok,True,10-Q,2024-07-26,0001071739-24-000157,2,1,2024-07-23;2024-07-26,0001071739-24-000151;0001071739-24-000158,a20240726ex991pressrelease.htm,True,included
2024Q3,CNDT,1677703,ok,True,10-Q,2024-08-07,0001677703-24-000116,1,1,2024-08-07,0001677703-24-000115,cndtq22024ex991-pressrelea.htm;cndtq22024ex992-slidepre.htm,True,included
2024Q3,CNK,1385280,ok,True,10-Q,2024-08-02,0000950170-24-089583,1,1,2024-08-02,0000950170-24-089582,cnk-ex99_1.htm,True,included
2024Q3,CNMD,816956,ok,True,10-Q,2024-08-01,0000816956-24-000015,1,1,2024-07-31,0001174947-24-000936,ex99-1.htm,True,included
2024Q3,CNNE,1704720,ok,True,10-Q,2024-08-08,0001704720-24-000069,1,1,2024-08-08,0001704720-24-000067,a20242qcannaeshareholderle.htm;exhibit991-pressreleaseann.htm,True,included
2024Q3,CNO,1224608,ok,True,10-Q,2024-08-09,0001224608-24-000050,1,1,2024-07-29,0001224608-24-000046,exhibit991-06302024earnings.htm;exhibit992-06302024investo.htm;exhibit993.htm,True,included
2024Q3,CNP,1130310,ok,True,10-Q,2024-07-30,0001130310-24-000093,1,1,2024-07-30,0001130310-24-000094,earningsreleasevf.htm;q2earningspresentationvf.htm,True,included
2024Q3,CNR,1710366,ok,True,10-Q,2024-08-08,0001710366-24-000018,1,1,2024-08-08,0001710366-24-000016,ceix-63024x8kexhibit991.htm,True,included
2024Q3,CNS,1284812,ok,True,10-Q,2024-08-02,0001284812-24-000285,1,1,2024-07-17,0001284812-24-000267,cns-earningsannouncement63.htm;cns-earningsreleasex63024e.htm,True,included
2024Q3,CNTA,1847903,ok,True,10-Q,2024-08-13,0001847903-24-000128,1,1,2024-08-13,0001847903-24-000126,cntapr-q22024.htm,True,included
2024Q3,CNTY,911147,ok,True,10-Q,2024-08-08,0000911147-24-000051,1,1,2024-08-08,0000911147-24-000053,cnty-20240807xex99_1.htm,True,included
2024Q3,CNX,1070412,ok,True,10-Q,2024-07-25,0001070412-24-000039,1,1,2024-07-25,0001070412-24-000037,ex991supplementalq224.htm,True,included
2024Q3,CNXC,1803599,ok,True,10-Q,2024-07-05,0001803599-24-000130,1,1,2024-09-25,0001803599-24-000150,exhibit991q32024.htm,True,included
2024Q3,CNXN,1050377,ok,True,10-Q,2024-07-31,0001558370-24-010484,1,1,2024-07-31,0001558370-24-010475,cnxn-20240731xex99d1.htm,True,included
2024Q3,COCO,1482981,ok,True,10-Q,2024-08-01,0001482981-24-000102,1,1,2024-07-31,0001482981-24-000098,coco-2024630xexx991pressre.htm,True,included
2024Q3,CODI,1345126,ok,True,10-Q,2024-07-31,0001345126-24-000039,1,1,2024-07-31,0001345126-24-000040,exhibit991earningsreleaseq.htm,True,included
2024Q3,COF,927628,ok,True,10-Q,2024-08-01,0000927628-24-000264,1,1,2024-07-23,0000927628-24-000253,ex991q22024earningsrelease.htm;ex992q22024earningsrelease.htm,True,included
2024Q3,COGT,1622229,ok,True,10-Q,2024-08-06,0000950170-24-091229,1,1,2024-08-06,0000950170-24-091220,cogt-ex99_1.htm,True,included
2024Q3,COHR,820318,ok,True,10-K,2024-08-16,0000820318-24-000016,1,1,2024-08-15,0001193125-24-201297,d873258dex991.htm;d873258dex992.htm,True,included
2024Q3,COHU,21535,ok,True,10-Q,2024-08-01,0001437749-24-024178,1,0,2024-07-31,0001437749-24-024102,,False,missing_ex99_1_for_item_202
2024Q3,COIN,1679788,ok,True,10-Q,2024-08-01,0001679788-24-000149,1,1,2024-08-01,0001679788-24-000148,q224shareholderletter.htm,True,included
2024Q3,COKE,317540,ok,True,10-Q,2024-07-31,0000317540-24-000046,1,1,2024-07-31,0000317540-24-000045,cokeq22024ex-991.htm,True,included
2024Q3,COLB,887343,ok,True,10-Q,2024-08-06,0000887343-24-000245,1,1,2024-07-25,0000887343-24-000242,colb-20240630ex991earnings.htm;colb2024q2earningspresen.htm,True,included
2024Q3,COLL,1267565,ok,True,10-Q,2024-08-08,0001558370-24-011586,2,2,2024-07-29;2024-08-08,0001104659-24-083126;0001558370-24-011583,tm2420341d1_ex99-1.htm;tm2420341d1_ex99-2.htm;coll-20240808xex99d1.htm;coll-20240808xex99d2.htm,True,included
2024Q3,COLM,1050797,ok,True,10-Q,2024-08-01,0001050797-24-000129,1,1,2024-07-25,0001050797-24-000125,colmfy24q2exhibit991.htm;ex992cfocommentaryq22024.htm,True,included
2024Q3,COMP,1563190,ok,True,10-Q,2024-08-02,0001563190-24-000141,1,1,2024-07-31,0001563190-24-000137,exhibit9918-k2q24pr.htm,True,included
2024Q3,COO,711404,ok,True,10-Q,2024-08-29,0000711404-24-000062,1,1,2024-08-28,0000711404-24-000058,cooperq32024pressrelease.htm,True,included
2024Q3,COOK,1857853,ok,True,10-Q,2024-08-07,0001857853-24-000095,1,1,2024-08-06,0001857853-24-000089,q2-24earningspressrelease.htm,True,included
2024Q3,COP,1163165,ok,True,10-Q,2024-08-01,0001163165-24-000037,1,0,2024-08-01,0001163165-24-000034,,False,missing_ex99_1_for_item_202
2024Q3,COR,1140859,ok,True,10-Q,2024-07-31,0001140859-24-000119,1,1,2024-07-31,0001140859-24-000117,exhibit991-q32024.htm,True,included
2024Q3,CORT,1088856,ok,True,10-Q,2024-07-29,0001628280-24-033284,1,1,2024-07-29,0001628280-24-033281,exhibit991pressrelease07-2.htm,True,included
2024Q3,CORZ,1839341,ok,True,10-Q,2024-08-07,0001628280-24-035714,1,1,2024-08-07,0001628280-24-035651,corescientificq22024earn.htm,True,included
2024Q3,COST,909832,ok,True,10-Q,2024-06-06,0000909832-24-000029,1,1,2024-09-26,0000909832-24-000043,costex9918-k92624.htm;costex9928-k92624.htm,True,included
2024Q3,COUR,1651562,ok,True,10-Q,2024-08-01,0001651562-24-000049,1,0,2024-07-25,0001651562-24-000046,,False,missing_ex99_1_for_item_202
2024Q3,CPAY,1175454,ok,True,10-Q,2024-08-09,0001628280-24-036429,1,1,2024-08-07,0001628280-24-035644,ex991q2_2024.htm,True,included
2024Q3,CPB,16732,ok,True,10-K,2024-09-19,0000016732-24-000130,2,2,2024-08-29;2024-08-29,0000016732-24-000124;0000016732-24-000120,exhibit991-q420248xka.htm;exhibit991-q42024.htm,True,included
2024Q3,CPF,701347,ok,True,10-Q,2024-07-31,0000701347-24-000029,1,1,2024-07-31,0000701347-24-000027,cpf_2q24earningssuppleme.htm;exhibit99-1erxq22024.htm,True,included
2024Q3,CPK,19745,ok,True,10-Q,2024-08-08,0001628280-24-036214,1,1,2024-08-08,0001628280-24-036213,exhibit99-epq22024.htm;exhibit99-prq22024.htm,True,included
2024Q3,CPRI,1530721,ok,True,10-Q,2024-08-08,0001530721-24-000096,1,1,2024-08-08,0001530721-24-000095,cpri-20240808.htm;cpri8-k06292024exhibit991.htm,True,included
2024Q3,CPRT,900075,ok,True,10-K,2024-09-30,0000900075-24-000024,1,1,2024-09-04,0000900075-24-000019,cprt-20240904.htm;cprt07312024ex99-1.htm,True,included
2024Q3,CPRX,1369568,ok,True,10-Q,2024-08-07,0000950170-24-092745,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,CPS,1320461,ok,True,10-Q,2024-08-02,0001320461-24-000120,1,1,2024-08-02,0001320461-24-000115,q22024earningsrelease.htm,True,included
2024Q3,CPT,906345,ok,True,10-Q,2024-08-02,0000906345-24-000027,1,1,2024-08-01,0000906345-24-000023,exhibit991earningsrelease2.htm;exhibit992supplement2q24.htm,True,included
2024Q3,CRAI,1053706,ok,True,10-Q,2024-08-01,0001053706-24-000020,1,1,2024-08-01,0001053706-24-000018,craiq2-20248xkexx991xpress.htm;craiq2-20248xkexx992xcfore.htm,True,included
2024Q3,CRBP,1595097,ok,True,10-Q,2024-08-06,0000950170-24-091922,1,1,2024-08-06,0000950170-24-091219,crbp-ex99_1.htm,True,included
2024Q3,CRC,1609253,ok,True,10-Q,2024-08-07,0001609253-24-000102,3,3,2024-07-01;2024-08-06;2024-08-08,0001193125-24-173343;0001609253-24-000100;0001193125-24-196569,d845209dex991.htm;a2024q2erex991.htm;d855755dex991.htm;d855755dex992.htm;d855755dex993.htm;d855755dex994.htm,True,included
2024Q3,CRCT,1828962,ok,True,10-Q,2024-08-07,0001828962-24-000102,1,1,2024-08-06,0001828962-24-000100,cricutq22024earningsrelease.htm,True,included
2024Q3,CRDF,1213037,ok,True,10-Q,2024-08-08,0001628280-24-036098,1,1,2024-08-08,0001628280-24-036122,crdf063024-q22024pr.htm,True,included
2024Q3,CRDO,0001807794,ok,True,10-Q,2024-09-05,0001628280-24-039562,1,1,2024-09-04,0001628280-24-039309,credoq12025ex-991.htm,True,included
2024Q3,CRGY,0001866175,ok,True,10-Q,2024-08-05,0001866175-24-000071,3,1,2024-07-23;2024-08-05;2024-09-04,0001866175-24-000061;0001866175-24-000070;0001628280-24-039228,exhibit991-launch8xk.htm;exhibit992-launch8xk.htm,True,included
2024Q3,CRH,849395,ok,True,10-Q,2024-08-08,0001628280-24-035823,1,1,2024-08-08,0001628280-24-035820,q2resultsannouncement2024.htm,True,included
2024Q3,CRI,1060822,ok,True,10-Q,2024-07-26,0001060822-24-000139,1,1,2024-07-26,0001060822-24-000138,cri-ex991q22024.htm,True,included
2024Q3,CRK,23194,ok,True,10-Q,2024-08-01,0000950170-24-089131,1,1,2024-07-30,0000950170-24-087901,crk-ex99_1.htm,True,included
2024Q3,CRL,1100682,ok,True,10-Q,2024-08-07,0001100682-24-000027,1,1,2024-08-07,0001100682-24-000025,crl2q24earningsrelease.htm,True,included
2024Q3,CRM,1108524,ok,True,10-Q,2024-08-29,0001108524-24-000022,1,1,2024-08-28,0001108524-24-000020,crm-q2fy25xexhibit991.htm,True,included
2024Q3,CRMD,1410098,ok,True,10-Q,2024-08-14,0001213900-24-068600,1,1,2024-08-14,0001213900-24-068589,ea021133801ex99-1_cormed.htm,True,included
2024Q3,CRMT,799850,ok,True,10-Q,2024-09-16,0001171843-24-005205,1,0,2024-09-04,0001171843-24-005048,,False,missing_ex99_1_for_item_202
2024Q3,CRNC,1768267,ok,True,10-Q,2024-08-09,0000950170-24-094836,2,2,2024-07-02;2024-08-08,0001193125-24-174406;0000950170-24-093306,d860175dex991.htm;crnc-ex99_1.htm;crnc-ex99_2.htm,True,included
2024Q3,CRNX,1658247,ok,True,10-Q,2024-08-08,0000950170-24-093977,1,1,2024-08-08,0000950170-24-093951,crnx-ex99_1.htm,True,included
2024Q3,CRON,1656472,ok,True,10-Q,2024-08-08,0001656472-24-000089,1,1,2024-08-08,0001656472-24-000088,pressreleaseq22024qformat.htm,True,included
2024Q3,CROX,1334036,ok,True,10-Q,2024-08-01,0001334036-24-000140,1,1,2024-08-01,0001334036-24-000138,croxq22024-pressrelease.htm,True,included
2024Q3,CRSP,1674416,ok,True,10-Q,2024-08-05,0000950170-24-090746,1,1,2024-08-05,0000950170-24-090727,crsp-ex99_1.htm,True,included
2024Q3,CRSR,1743759,ok,True,10-Q,2024-08-01,0000950170-24-089379,2,2,2024-07-18;2024-08-01,0000950170-24-084571;0000950170-24-089250,crsr-ex99_1.htm;crsr-ex99_1.htm;crsr-ex99_2.htm,True,included
2024Q3,CRTO,1576427,ok,True,10-Q,2024-08-01,0001576427-24-000098,1,1,2024-08-01,0001576427-24-000096,exhibit991q22024.htm,True,included
2024Q3,CRUS,772406,ok,True,10-Q,2024-08-06,0000772406-24-000057,1,1,2024-08-06,0000772406-24-000056,pressrelease.htm;shareholderletter.htm,True,included
2024Q3,CRVL,874866,ok,True,10-Q,2024-08-01,0000950170-24-089341,1,1,2024-07-30,0000950170-24-087454,crvl-ex99_1.htm,True,included
2024Q3,CRVO,1053691,ok,True,10-Q,2024-08-09,0001437749-24-025875,1,0,2024-08-15,0001437749-24-027012,,False,missing_ex99_1_for_item_202
2024Q3,CSCO,858877,ok,True,10-K,2024-09-05,0000858877-24-000017,1,1,2024-08-14,0001193125-24-200636,d878533dex991.htm,True,included
2024Q3,CSGP,1057352,ok,True,10-Q,2024-07-25,0001057352-24-000091,1,1,2024-07-23,0001193125-24-182891,d856482dex991.htm;d856482dex992.htm,True,included
2024Q3,CSGS,1005757,ok,True,10-Q,2024-08-08,0000950170-24-093482,1,1,2024-08-07,0000950170-24-092752,csgs-ex99_1.htm,True,included
2024Q3,CSPI,356037,ok,True,10-Q,2024-08-19,0000356037-24-000055,1,1,2024-08-13,0000356037-24-000049,cspi-20240813xex99d1.htm,True,included
2024Q3,CSR,798359,ok,True,10-Q,2024-07-29,0000798359-24-000100,1,1,2024-07-29,0000798359-24-000102,centerspace063024exhibit991.htm,True,included
2024Q3,CSTL,1447362,ok,True,10-Q,2024-08-05,0001447362-24-000122,1,1,2024-08-05,0001447362-24-000121,exhibit991q22024earningsre.htm;exhibit992.htm;exhibit993.htm,True,included
2024Q3,CSV,1016281,ok,True,10-Q,2024-08-02,0001016281-24-000132,1,1,2024-08-01,0001193125-24-190142,d872733dex991.htm,True,included
2024Q3,CSW,1624794,ok,True,10-Q,2024-07-31,0001624794-24-000058,1,0,2024-07-31,0001624794-24-000060,,False,missing_ex99_1_for_item_202
2024Q3,CSWC,17313,ok,True,10-Q,2024-08-06,0000017313-24-000058,2,2,2024-07-17;2024-08-05,0000017313-24-000049;0000017313-24-000054,cswc-pressreleasexq12025pr.htm;q12025earningspresentati.htm;q12025earningsrelease.htm,True,included
2024Q3,CSX,277948,ok,True,10-Q,2024-08-05,0000277948-24-000047,1,1,2024-08-05,0000277948-24-000046,pressrelease_q22024.htm,True,included
2024Q3,CTAS,723254,ok,True,10-K,2024-07-25,0000723254-24-000036,2,2,2024-07-18;2024-09-25,0000723254-24-000032;0000723254-24-000051,ex992024-5x31.htm;ex992024-8x31.htm,True,included
2024Q3,CTEV,1793229,ok,True,10-Q,2024-08-02,0001793229-24-000106,1,1,2024-08-01,0001793229-24-000100,a991multiplanpressrelease-.htm,True,included
2024Q3,CTGO,1502377,ok,True,10-Q,2024-08-13,0000950170-24-096321,1,1,2024-08-16,0000950170-24-098038,ctgo-ex99_1.htm;ctgo-ex99_2.htm,True,included
2024Q3,CTKB,1831915,ok,True,10-Q,2024-08-06,0001628280-24-035264,1,1,2024-08-06,0001193125-24-194907,d859161dex991.htm,True,included
2024Q3,CTLP,896429,ok,True,10-K,2024-09-10,0001628280-24-040037,1,1,2024-09-10,0001628280-24-040028,ex-991xearningreleaseq42024.htm,True,included
2024Q3,CTNT,0001951667,ok,True,10-Q,2024-08-13,0001410578-24-001372,1,1,2024-08-13,0001104659-24-088959,tm2421542d1_ex99-1.htm,True,included
2024Q3,CTO,23795,ok,True,10-Q,2024-07-25,0001558370-24-010187,1,1,2024-07-25,0001558370-24-010182,cto-20240725xex99d1.htm;cto-20240725xex99d2.htm;cto-20240725xex99d3.htm,True,included
2024Q3,CTOS,1709682,ok,True,10-Q,2024-08-01,0001709682-24-000053,1,1,2024-08-01,0001709682-24-000052,ex991q2-2024pressrelease.htm,True,included
2024Q3,CTRA,858470,ok,True,10-Q,2024-08-02,0000858470-24-000106,1,1,2024-08-01,0000858470-24-000102,ctra-6302024xxexx991earnin.htm,True,included
2024Q3,CTRE,1590717,ok,True,10-Q,2024-08-02,0001628280-24-034247,1,1,2024-08-02,0001628280-24-034248,ex991-ctreq22024er.htm;exhibit992-ctreq22024fin.htm,True,included
2024Q3,CTRI,0001981599,ok,True,10-Q,2024-08-06,0001981599-24-000030,1,1,2024-07-29,0001981599-24-000022,centuriholdingsincex-991xq.htm,True,included
2024Q3,CTRN,1318484,ok,True,10-Q,2024-09-11,0001558370-24-012737,1,1,2024-08-27,0001104659-24-093052,tm2422653d1_ex99-1.htm,True,included
2024Q3,CTS,26058,ok,True,10-Q,2024-07-30,0000950170-24-087814,1,1,2024-07-30,0000950170-24-087512,cts-ex99_1.htm;cts-ex99_2.htm,True,included
2024Q3,CTSH,1058290,ok,True,10-Q,2024-08-01,0001058290-24-000242,1,1,2024-07-31,0001058290-24-000241,exhibit9916302024.htm;exhibit9926302024.htm;exhibit9936302024.htm,True,included
2024Q3,CTVA,1755672,ok,True,10-Q,2024-08-01,0001755672-24-000019,1,1,2024-07-31,0001755672-24-000017,final_2qx2024xearningsxn.htm;pressrelease-exhibit993.htm,True,included
2024Q3,CTXR,1506251,ok,True,10-Q,2024-08-12,0001213900-24-067732,1,1,2024-08-12,0001213900-24-067778,ea021112301ex99-1_citius.htm,True,included
2024Q3,CUBI,1488813,ok,True,10-Q,2024-08-08,0001488813-24-000080,1,1,2024-07-25,0001488813-24-000075,q224investorpresentation.htm;q224pressrelease.htm,True,included
2024Q3,CUE,1645460,ok,True,10-Q,2024-08-14,0000950170-24-096967,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,CVCO,278166,ok,True,10-Q,2024-08-02,0000278166-24-000122,1,1,2024-08-02,0000278166-24-000102,cvco-20240629xex991.htm,True,included
2024Q3,CVGI,1290900,ok,True,10-Q,2024-08-05,0001628280-24-034779,1,1,2024-08-05,0001628280-24-034777,cvgq22024earningsrelease.htm,True,included
2024Q3,CVGW,1133470,ok,True,10-Q,2024-09-09,0001558370-24-012688,1,1,2024-09-09,0001558370-24-012686,cvgw-20240909xex99d1.htm,True,included
2024Q3,CVI,1376139,ok,True,10-Q,2024-07-30,0001376139-24-000047,1,1,2024-07-29,0001376139-24-000045,exhibit991-cviq22024earnin.htm,True,included
2024Q3,CVLG,928658,ok,True,10-Q,2024-08-02,0001437749-24-024422,1,1,2024-07-24,0001008886-24-000261,exhibit991.htm,True,included
2024Q3,CVLT,1169561,ok,True,10-Q,2024-07-31,0001169561-24-000080,1,1,2024-07-30,0001169561-24-000077,q1fy25pressrelease.htm,True,included
2024Q3,CVNA,1690820,ok,True,10-Q,2024-07-31,0001690820-24-000272,1,1,2024-07-31,0001690820-24-000270,ex99_1q22024.htm;ex99_2q22024.htm,True,included
2024Q3,CVRX,1235912,ok,True,10-Q,2024-08-02,0001558370-24-010719,1,1,2024-07-29,0001104659-24-083543,tm2420331d1_ex99-1.htm,True,included
2024Q3,CVS,64803,ok,True,10-Q,2024-08-07,0000064803-24-000029,1,1,2024-08-07,0000064803-24-000028,cvs_ex99x1q2-24.htm,True,included
2024Q3,CVSA,730464,ok,True,10-K,2024-08-06,0001558370-24-011099,1,1,2024-08-06,0001558370-24-011090,atge-20240806xex99d1.htm,True,included
2024Q3,CVX,93410,ok,True,10-Q,2024-08-07,0000093410-24-000040,1,1,2024-08-02,0000093410-24-000035,a06302024ex9918-k.htm,True,included
